,dataset_name,smooth,window_size,step_size,metric,roc auc
0,BeetleFly,True,10,1,dtw,0.5
1,BeetleFly,True,10,1,softdtw,0.625
2,BeetleFly,True,10,1,euclidean,0.625
3,BirdChicken,True,10,1,dtw,0.55
4,BirdChicken,True,10,1,softdtw,0.5249999999999999
5,BirdChicken,True,10,1,euclidean,0.5750000000000001
6,Computers,True,10,1,dtw,0.606
7,BeetleFly,True,5,1,dtw,0.7
8,BeetleFly,True,5,1,softdtw,0.6500000000000001
9,BeetleFly,True,5,1,euclidean,0.625
10,BirdChicken,True,5,1,dtw,0.55
11,BirdChicken,True,5,1,softdtw,0.5750000000000001
12,BirdChicken,True,5,1,euclidean,0.5750000000000001
13,Computers,True,5,1,dtw,0.632
14,Computers,True,5,1,softdtw,0.53
15,Computers,True,5,1,euclidean,0.526
16,Earthquakes,True,5,1,dtw,0.6257012622720898
17,Earthquakes,True,5,1,softdtw,0.5332369097709209
18,Earthquakes,True,5,1,euclidean,0.5548007246376812
19,MoteStrain,True,5,1,dtw,0.8194319750307762
20,MoteStrain,True,5,1,softdtw,0.909716609259006
21,MoteStrain,True,5,1,euclidean,0.8424389758639127
22,PhalangesOutlinesCorrect,True,5,1,dtw,0.5469044464075382
23,PhalangesOutlinesCorrect,True,5,1,softdtw,0.5762459511189635
24,PhalangesOutlinesCorrect,True,5,1,euclidean,0.5585376177856302
25,ProximalPhalanxOutlineCorrect,True,5,1,dtw,0.6667196439923714
26,ProximalPhalanxOutlineCorrect,True,5,1,softdtw,0.6764780673871582
27,ProximalPhalanxOutlineCorrect,True,5,1,euclidean,0.6727908455181183
28,ShapeletSim,True,5,1,dtw,0.5
29,ShapeletSim,True,5,1,softdtw,0.6299999999999999
30,ShapeletSim,True,5,1,euclidean,0.5299999999999999
31,ItalyPowerDemand,True,5,1,dtw,0.5104011614935582
32,ItalyPowerDemand,True,5,1,softdtw,0.5023992434308016
33,ItalyPowerDemand,True,5,1,euclidean,0.5069729573131138
34,WormsTwoClass,True,5,1,dtw,0.5543377870820763
35,WormsTwoClass,True,5,1,softdtw,0.5650821993719599
36,WormsTwoClass,True,5,1,euclidean,0.5399913798411428
