,dataset_name,smooth,window_size,step_size,metric,roc auc
0,BeetleFly,True,10,4,dtw,0.625
1,BeetleFly,True,10,4,softdtw,0.65
2,BeetleFly,True,10,4,euclidean,0.625
3,BirdChicken,True,10,4,dtw,0.5750000000000001
4,BirdChicken,True,10,4,softdtw,0.5249999999999999
5,BirdChicken,True,10,4,euclidean,0.5750000000000001
6,Computers,True,10,4,dtw,0.63
7,Computers,True,10,4,softdtw,0.5760000000000001
8,Computers,True,10,4,euclidean,0.528
9,Earthquakes,True,10,4,dtw,0.6039475222066386
10,Earthquakes,True,10,4,softdtw,0.5014901823281908
11,Earthquakes,True,10,4,euclidean,0.5132655446470313
12,MoteStrain,True,10,4,dtw,0.8336661734167299
13,MoteStrain,True,10,4,softdtw,0.8449831507479576
14,MoteStrain,True,10,4,euclidean,0.8269849164998322
15,PhalangesOutlinesCorrect,True,10,4,dtw,0.5637367491166078
16,PhalangesOutlinesCorrect,True,10,4,softdtw,0.5722964517078916
17,PhalangesOutlinesCorrect,True,10,4,euclidean,0.5597946113074205
18,ProximalPhalanxOutlineCorrect,True,10,4,dtw,0.566624284806103
19,ProximalPhalanxOutlineCorrect,True,10,4,softdtw,0.6698664971392244
20,ProximalPhalanxOutlineCorrect,True,10,4,euclidean,0.5760012714558169
21,ShapeletSim,True,10,4,dtw,0.505
22,ShapeletSim,True,10,4,softdtw,0.53
23,ShapeletSim,True,10,4,euclidean,0.535
24,ItalyPowerDemand,True,10,4,dtw,0.5572338604675945
25,ItalyPowerDemand,True,10,4,softdtw,0.5087944509378861
26,ItalyPowerDemand,True,10,4,euclidean,0.5069696273430502
27,WormsTwoClass,True,10,4,dtw,0.529277753832892
28,WormsTwoClass,True,10,4,softdtw,0.5594790961147712
29,WormsTwoClass,True,10,4,euclidean,0.5366356751431561
