,dataset_name,smooth,window_size,step_size,metric,roc auc
0,BeetleFly,True,10,1,dtw,0.5
1,BeetleFly,True,10,1,softdtw,0.625
2,BeetleFly,True,10,1,euclidean,0.625
3,BirdChicken,True,10,1,dtw,0.55
4,BirdChicken,True,10,1,softdtw,0.5249999999999999
5,BirdChicken,True,10,1,euclidean,0.5750000000000001
6,Computers,True,10,1,dtw,0.606
7,Computers,True,10,1,softdtw,0.604
8,Computers,True,10,1,euclidean,0.526
9,Earthquakes,True,10,1,dtw,0.5710466339410939
10,Earthquakes,True,10,1,softdtw,0.576656732117812
11,Earthquakes,True,10,1,euclidean,0.5469991818606825
12,MoteStrain,True,10,1,dtw,0.82989592011838
13,MoteStrain,True,10,1,softdtw,0.8820962707817804
14,MoteStrain,True,10,1,euclidean,0.8387880973401808
15,PhalangesOutlinesCorrect,True,10,1,dtw,0.5816328032979977
16,PhalangesOutlinesCorrect,True,10,1,softdtw,0.5772140017667844
17,PhalangesOutlinesCorrect,True,10,1,euclidean,0.5677451413427563
18,ProximalPhalanxOutlineCorrect,True,10,1,dtw,0.6773998728544183
19,ProximalPhalanxOutlineCorrect,True,10,1,softdtw,0.6740940877304514
20,ProximalPhalanxOutlineCorrect,True,10,1,euclidean,0.67914812460267
21,ShapeletSim,True,10,1,dtw,0.61
22,ShapeletSim,True,10,1,softdtw,0.5
23,ShapeletSim,True,10,1,euclidean,0.545
24,ItalyPowerDemand,True,10,1,dtw,0.5835489488949495
25,ItalyPowerDemand,True,10,1,softdtw,0.5161103951675475
26,ItalyPowerDemand,True,10,1,euclidean,0.506058880530664
27,WormsTwoClass,True,10,1,dtw,0.5504279293146973
28,WormsTwoClass,True,10,1,softdtw,0.5714549596699711
29,WormsTwoClass,True,10,1,euclidean,0.5366356751431561
